Pradesh No 1 Biratnagar,,,,,,,,,,
Biratnagar RO,,Karar Employee,,Myadi Emplyee,,Jyaladari Employee,,,,
S.N.,DCS Office,ID Range Start,ID Range End,ID Range Start,ID Range End,ID Range Start,ID Range End,,,
1,Biratnagar Regional Office,71000001,71000100,61000001,61000100,51000001,51000200,,,
2,Taplegunj DCS,71000101,71000200,61000101,61000200,51000201,51000400,,,
3,Panchthar DCS,71000201,71000300,61000201,61000300,51000401,51000600,,,
4,Ilam DCS,71000301,71000400,61000301,61000400,51000601,51000800,,,
5,Fickel SDC,71000401,71000500,61000401,61000500,51000801,51001000,,,
6,Pashupatinagar SDC,71000501,71000600,61000501,61000600,51001001,51001200,,,
7,Khadbari DCS,71000601,71000700,61000601,61000700,51001201,51001400,,,
8,Chainour SDC,71000701,71000800,61000701,61000800,51001401,51001600,,,
9,Tumlingtar SDC,71000801,71000900,61000801,61000900,51001601,51001800,,,
10,Mudhe SDC,71000901,71001000,61000901,61001000,51001801,51002000,,,
11,Terhathum DCS,71001001,71001100,61001001,61001100,51002001,51002200,,,
12,Dhankuta DCS,71001101,71001200,61001101,61001200,51002201,51002400,,,
13,Bhojpur DCS,71001201,71001300,61001201,61001300,51002401,51002600,,,
14,Diktel DCS,71001301,71001400,61001301,61001400,51002601,51002800,,,
15,Solukhumbu DCS,71001401,71001500,61001401,61001500,51002801,51003000,,,
16,Okhaldhunga DCS,71001501,71001600,61001501,61001600,51003001,51003200,,,
17,Udaypur DCS,71001601,71001700,61001601,61001700,51003201,51003400,,,
18,BelTar SDC,71001701,71001800,61001701,61001800,51003401,51003600,,,
19,Katari SDC,71001801,71001900,61001801,61001900,51003601,51003800,,,
20,Dhulabari DCS,71001901,71002000,61001901,61002000,51003801,51004000,,,
21,Budhabare SDC,71002001,71002100,61002001,61002100,51004001,51004200,,,
22,Bhadrapur DCS,71002101,71002200,61002101,61002200,51004201,51004400,,,
23,Anarmani DCS,71002201,71002300,61002201,61002300,51004401,51004600,,,
24,Sanischare SDC,71002301,71002400,61002301,61002400,51004601,51004800,,,
25,Surunga SDC,71002401,71002500,61002401,61002500,51004801,51005000,,,
26,Damak DCS,71002501,71002600,61002501,61002600,51005001,51005200,,,
27,Gauradah DCS,71002601,71002700,61002601,61002700,51005201,51005400,,,
28,Rangeli DCS,71002701,71002800,61002701,61002800,51005401,51005600,,,
29,Urlabari DCS,71002801,71002900,61002801,61002900,51005601,51005800,,,
30,Belbari DCS,71002901,71003000,61002901,61003000,51005801,51006000,,,
31,Biratnagar DCS,71003001,71003100,61003001,61003100,51006001,51006200,,,
32,Rani SDC,71003101,71003200,61003101,61003200,51006201,51006400,,,
33,Duhabi DCS,71003201,71003300,61003201,61003300,51006401,51006600,,,
34,Inaruwa DCS,71003301,71003400,61003301,61003400,51006601,51006800,,,
35,Itahari DCS,71003401,71003500,61003401,61003500,51006801,51007000,,,
36,Dharan DCS,71003501,71003600,61003501,61003600,51007001,51007200,,,
,,,,,,,,,,
,,,,,,,,,,
,Generation,,,Transmission,,,,,,
,Karar Employee,71010000,,Karar Employee,71020000,,,,,
,Myadi Emplyee,61010000,,Myadi Emplyee,61020000,,,,,
,Jyaladari Employee,51010000,,Jyaladari Employee,51020000,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
